iter	Passed	Remaining
0	13	15767
1	19	11922
2	29	11773
3	38	11382
4	46	11056
5	53	10691
6	57	9720
7	60	8950
8	69	9143
9	78	9369
10	84	9149
11	93	9246
12	97	8929
13	108	9221
14	114	9009
15	122	9094
16	132	9188
17	138	9075
18	146	9126
19	150	8865
20	159	8966
21	166	8907
22	174	8950
23	185	9097
24	197	9259
25	208	9412
26	218	9506
27	226	9496
28	241	9736
29	250	9756
30	254	9598
31	265	9684
32	290	10268
33	301	10341
34	311	10356
35	332	10762
36	349	10993
37	358	10960
38	370	11017
39	380	11032
40	394	11159
41	433	11953
42	443	11929
43	451	11854
44	471	12113
45	480	12051
46	489	12016
47	498	11971
48	507	11925
49	515	11850
50	524	11820
51	538	11886
52	546	11828
53	555	11798
54	570	11874
55	597	12208
56	616	12353
57	625	12322
58	631	12209
59	640	12173
60	644	12031
61	652	11981
62	662	11952
63	667	11842
64	676	11805
65	699	12018
66	713	12059
67	722	12031
68	732	12006
69	778	12568
70	793	12618
71	802	12574
72	814	12576
73	823	12537
74	832	12493
75	842	12454
76	847	12364
77	856	12323
78	865	12279
79	895	12542
80	912	12606
81	922	12578
82	928	12489
83	937	12453
84	979	12855
85	990	12824
86	999	12784
87	1009	12761
88	1019	12722
89	1034	12753
90	1043	12722
91	1053	12685
92	1060	12625
93	1070	12590
94	1079	12554
95	1088	12516
96	1098	12487
97	1104	12419
98	1113	12384
99	1135	12495
100	1159	12615
101	1198	12901
102	1212	12916
103	1222	12883
104	1228	12812
105	1234	12739
106	1244	12717
107	1250	12640
108	1260	12615
109	1276	12649
110	1286	12616
111	1294	12579
112	1304	12549
113	1314	12518
114	1323	12488
115	1342	12548
116	1353	12528
117	1364	12508
118	1379	12533
119	1391	12522
120	1402	12508
121	1413	12490
122	1420	12436
123	1426	12374
124	1434	12335
125	1444	12312
126	1454	12289
127	1464	12267
128	1476	12255
129	1486	12236
130	1509	12315
131	1516	12266
132	1526	12249
133	1543	12279
134	1569	12381
135	1584	12392
136	1589	12334
137	1599	12305
138	1604	12246
139	1613	12218
140	1625	12207
141	1634	12179
142	1644	12155
143	1654	12130
144	1670	12154
145	1680	12131
146	1714	12281
147	1720	12232
148	1727	12183
149	1737	12159
150	1743	12111
151	1751	12073
152	1772	12127
153	1803	12251
154	1820	12270
155	1831	12255
156	1839	12221
157	1849	12199
158	1885	12347
159	1906	12391
160	1916	12364
161	1928	12356
162	1933	12300
163	1941	12265
164	1951	12242
165	1966	12248
166	1975	12217
167	1984	12192
168	1996	12178
169	2008	12170
170	2020	12155
171	2031	12144
172	2043	12132
173	2050	12088
174	2059	12060
175	2067	12029
176	2074	11989
177	2083	11964
178	2093	11939
179	2102	11912
180	2112	11890
181	2115	11833
182	2140	11896
183	2146	11850
184	2155	11824
185	2164	11800
186	2170	11755
187	2179	11730
188	2215	11849
189	2227	11842
190	2232	11795
191	2242	11771
192	2251	11749
193	2256	11702
194	2266	11679
195	2269	11625
196	2293	11678
197	2296	11622
198	2306	11602
199	2326	11634
200	2332	11591
201	2335	11540
202	2357	11578
203	2368	11563
204	2377	11540
205	2402	11592
206	2415	11589
207	2431	11594
208	2435	11547
209	2445	11526
210	2455	11508
211	2469	11509
212	2479	11490
213	2501	11524
214	2508	11491
215	2517	11466
216	2520	11417
217	2529	11395
218	2533	11347
219	2542	11323
220	2551	11303
221	2560	11281
222	2580	11305
223	2589	11280
224	2604	11287
225	2610	11249
226	2619	11228
227	2629	11210
228	2637	11184
229	2644	11150
230	2653	11131
231	2683	11197
232	2720	11289
233	2727	11261
234	2737	11240
235	2742	11202
236	2751	11181
237	2762	11166
238	2766	11123
239	2770	11080
240	2797	11131
241	2818	11158
242	2831	11151
243	2858	11200
244	2873	11200
245	2879	11165
246	2888	11144
247	2898	11125
248	2907	11105
249	2918	11088
250	2941	11119
251	2952	11105
252	2959	11077
253	2969	11059
254	2979	11042
255	2990	11029
256	3000	11010
257	3010	10993
258	3027	10998
259	3036	10976
260	3046	10961
261	3090	11064
262	3115	11098
263	3119	11059
264	3129	11042
265	3140	11028
266	3159	11041
267	3164	11004
268	3174	10985
269	3178	10948
270	3188	10929
271	3198	10913
272	3209	10897
273	3213	10861
274	3232	10872
275	3234	10830
276	3239	10795
277	3249	10778
278	3260	10762
279	3276	10765
280	3284	10741
281	3286	10698
282	3293	10670
283	3303	10656
284	3311	10631
285	3324	10623
286	3328	10588
287	3338	10572
288	3356	10579
289	3371	10580
290	3378	10554
291	3388	10537
292	3410	10558
293	3421	10544
294	3431	10528
295	3435	10493
296	3439	10456
297	3443	10423
298	3453	10405
299	3458	10374
300	3464	10347
301	3469	10317
302	3479	10299
303	3484	10269
304	3487	10234
305	3496	10215
306	3513	10220
307	3523	10205
308	3533	10188
309	3545	10177
310	3582	10239
311	3596	10237
312	3606	10219
313	3619	10211
314	3649	10253
